JEE Main %,JEE Advanced %,Mock Avg %,School Board,HSC %,Attempts,Coaching,Study Hour Bin,Family Income,Parent Education,Location Type,Peer Pressure Level,Mental Health,Admission,Dropout
66.97,52.65,57.86,State,72.67,2,Local,Very High,High,SSLC,Rural,High,No,Yes,0
62.79,83.34,69.93,State,74.05,1,FIITJEE,Low,Mid,PG,Semi-Urban,Medium,No,Yes,0
76.11,100.0,62.96,State,60.18,1,Self Study,High,Low,HSC,Rural,Low,Yes,No,1
83.56,65.07,65.45,ICSE,64.54,1,FIITJEE,Medium,Mid,PG,Urban,Low,Yes,Yes,0
70.61,42.86,66.63,ICSE,80.56,1,Self Study,Medium,Mid,SSLC,Semi-Urban,High,No,Yes,0
71.02,38.04,47.1,CBSE,76.05,1,Allen,,Low,HSC,Semi-Urban,High,No,Yes,1
61.72,68.6,88.11,CBSE,72.58,2,Self Study,Medium,Low,Graduate,Urban,Medium,Yes,Yes,0
62.57,66.2,81.25,CBSE,90.33,1,Local,Very Low,Low,SSLC,Rural,Medium,Yes,No,1
83.76,68.72,71.55,State,61.0,1,Self Study,High,High,PG,Semi-Urban,Low,No,No,0
57.92,42.44,47.82,State,84.24,2,Local,Very Low,Mid,Graduate,Urban,Medium,Yes,No,0
94.8,71.77,69.55,CBSE,100.0,2,Local,Very Low,Mid,SSLC,Urban,High,Yes,No,1
88.21,57.72,69.66,ICSE,64.68,2,FIITJEE,Low,High,SSLC,Rural,High,No,No,0
63.79,42.93,88.85,CBSE,53.99,2,Local,Medium,High,SSLC,Rural,Low,No,No,0
48.36,58.91,76.66,CBSE,73.6,2,Local,Low,Low,HSC,Semi-Urban,High,Yes,No,1
90.49,67.83,45.66,ICSE,67.03,1,FIITJEE,Low,Mid,PG,Urban,Medium,Yes,Yes,0
78.95,64.19,65.31,CBSE,78.78,1,Self Study,Medium,Mid,PG,Semi-Urban,Medium,No,Yes,0
51.36,61.03,75.27,ICSE,73.29,2,Allen,High,High,SSLC,Semi-Urban,Low,Yes,Yes,0
58.83,75.75,80.68,ICSE,88.49,2,Local,Low,Mid,SSLC,Urban,Low,Yes,Yes,0
69.88,64.76,86.53,State,78.96,2,FIITJEE,High,High,Graduate,Urban,Medium,No,No,0
82.45,19.61,72.04,CBSE,88.43,1,FIITJEE,Very Low,High,Graduate,Rural,Low,Yes,No,0
64.55,57.84,71.96,ICSE,70.59,1,Self Study,Low,Low,HSC,Semi-Urban,Medium,Yes,Yes,0
66.52,71.9,52.1,ICSE,65.28,2,Local,Low,Mid,SSLC,Urban,Low,Yes,No,0
87.35,54.71,97.23,CBSE,71.84,1,Local,Very Low,Low,Graduate,Rural,High,Yes,Yes,1
65.56,33.05,56.66,CBSE,64.97,2,Local,Very High,Mid,SSLC,Urban,High,No,Yes,0
91.26,65.27,85.65,ICSE,62.96,1,Local,Low,High,SSLC,Rural,High,Yes,Yes,0
64.36,65.2,58.77,State,74.74,2,Allen,Very Low,High,HSC,Rural,Medium,Yes,Yes,0
95.73,66.54,76.73,State,64.4,1,Self Study,Low,High,Graduate,Rural,Medium,Yes,No,0
65.1,73.31,51.3,ICSE,73.0,2,Self Study,Medium,Low,SSLC,Semi-Urban,High,Yes,Yes,0
58.0,81.95,60.44,ICSE,83.68,2,Allen,Medium,Low,SSLC,Semi-Urban,Low,No,No,1
74.08,64.17,50.9,ICSE,83.71,2,Local,Medium,Low,PG,Urban,High,No,Yes,0
52.46,100.0,43.16,CBSE,71.39,2,FIITJEE,Medium,Low,HSC,Rural,High,Yes,No,1
52.37,64.89,48.71,CBSE,59.57,1,Local,Low,High,Graduate,Semi-Urban,Low,Yes,Yes,0
71.73,68.36,79.24,ICSE,89.27,2,Allen,Medium,Low,SSLC,Rural,Low,No,No,1
71.81,61.77,76.41,CBSE,81.34,1,Local,Medium,Mid,Graduate,Urban,Medium,No,Yes,0
68.95,67.43,65.59,ICSE,75.02,1,Allen,High,Low,HSC,Rural,Medium,Yes,No,1
75.0,54.03,57.85,CBSE,70.62,2,Self Study,High,Mid,Graduate,Semi-Urban,High,Yes,Yes,0
60.68,81.3,75.19,CBSE,71.23,1,Allen,Medium,High,SSLC,Urban,High,No,Yes,0
77.88,82.25,55.15,State,90.61,2,Self Study,Low,Mid,SSLC,Rural,Medium,No,No,0
70.35,55.92,60.91,State,83.74,2,FIITJEE,Low,Low,HSC,Urban,High,No,Yes,0
52.54,82.93,56.87,ICSE,89.49,2,FIITJEE,Medium,High,Graduate,Urban,Medium,No,No,0
86.76,77.6,57.0,State,78.59,1,Allen,Low,High,Graduate,Urban,Medium,No,No,0
91.54,51.62,49.7,CBSE,79.11,1,FIITJEE,Low,Low,HSC,Semi-Urban,Low,No,No,1
73.86,76.31,88.31,ICSE,86.51,2,Allen,Very High,Mid,HSC,Rural,Low,No,No,0
94.13,54.12,86.7,State,73.31,1,Allen,High,Mid,SSLC,Urban,High,No,No,0
69.88,55.39,71.08,State,73.86,2,Local,High,High,HSC,Rural,Low,No,Yes,0
55.78,56.89,70.34,ICSE,63.55,2,Allen,Medium,Mid,SSLC,Urban,Medium,No,Yes,0
53.21,72.21,83.19,ICSE,73.67,1,Local,High,High,SSLC,Rural,Medium,No,No,0
62.9,74.91,82.85,ICSE,74.22,2,FIITJEE,Very High,Low,SSLC,Urban,High,No,No,1
65.67,92.45,77.03,ICSE,72.02,1,Allen,Low,Low,Graduate,Semi-Urban,Medium,No,Yes,0
98.41,49.52,74.75,ICSE,88.09,1,FIITJEE,Very Low,Low,Graduate,Rural,High,Yes,No,1
77.66,66.19,66.93,ICSE,89.94,1,Local,Medium,High,HSC,Semi-Urban,Low,No,No,0
90.91,50.02,71.78,CBSE,93.12,1,Local,High,Mid,HSC,Urban,Low,No,No,0
74.58,76.62,83.57,CBSE,84.53,1,Self Study,Medium,Low,PG,Urban,High,Yes,Yes,0
53.08,46.27,81.2,State,81.07,2,Allen,Medium,Low,PG,Semi-Urban,Low,Yes,No,1
68.86,84.67,74.58,ICSE,64.56,1,Local,High,Mid,SSLC,Urban,Low,No,Yes,0
72.4,63.57,49.83,ICSE,73.73,2,Allen,Medium,Low,SSLC,Urban,Low,Yes,No,1
79.1,77.45,73.68,State,70.73,1,Allen,Very Low,High,PG,Urban,Low,No,No,0
81.74,69.01,100.0,CBSE,67.16,2,Self Study,High,Low,Graduate,Semi-Urban,Medium,No,No,1
81.6,60.59,64.66,CBSE,83.06,2,Allen,Low,Mid,Graduate,Urban,High,Yes,No,0
60.49,86.03,59.72,ICSE,70.87,1,Allen,Medium,High,Graduate,Urban,High,No,No,0
80.48,32.63,59.52,CBSE,74.74,2,Allen,Very High,High,HSC,Rural,Medium,No,Yes,0
76.36,65.68,81.83,CBSE,79.25,1,Local,High,High,PG,Semi-Urban,Medium,Yes,Yes,0
46.07,49.43,57.34,State,84.84,2,Local,Medium,Low,SSLC,Rural,Low,No,No,1
48.63,54.06,63.06,ICSE,80.73,1,FIITJEE,Low,Low,PG,Urban,High,No,Yes,0
100.0,85.55,91.37,State,75.29,1,FIITJEE,High,High,PG,Urban,High,Yes,Yes,0
85.7,64.88,69.73,CBSE,90.93,2,Self Study,Very Low,Mid,HSC,Rural,High,Yes,No,1
61.9,55.92,77.08,State,67.57,2,FIITJEE,Low,Low,HSC,Semi-Urban,Medium,No,No,1
79.01,84.61,59.39,ICSE,74.98,2,Allen,Medium,Low,PG,Semi-Urban,High,No,No,1
86.75,78.33,68.66,CBSE,72.88,2,Self Study,Low,Mid,PG,Semi-Urban,Medium,No,No,0
67.92,66.23,67.0,CBSE,73.37,2,FIITJEE,Medium,High,SSLC,Semi-Urban,Low,No,No,0
58.67,59.62,76.96,CBSE,84.82,1,Allen,Medium,Low,HSC,Semi-Urban,Low,No,Yes,0
81.27,62.78,60.32,ICSE,76.47,1,Allen,Low,Mid,HSC,Rural,Medium,Yes,No,0
56.75,81.12,71.71,State,89.63,2,FIITJEE,Low,Mid,SSLC,Urban,High,No,No,0
80.97,60.36,46.75,CBSE,80.75,1,Local,Medium,High,SSLC,Urban,Low,Yes,Yes,0
67.2,69.97,42.77,ICSE,65.65,1,Allen,Medium,High,PG,Rural,Medium,No,No,0
56.62,77.16,67.81,CBSE,80.89,1,Self Study,Low,High,PG,Rural,Medium,No,No,0
66.23,59.22,73.29,State,72.3,2,FIITJEE,High,Mid,PG,Urban,High,No,No,0
82.19,63.4,67.26,CBSE,87.82,1,Local,Medium,Mid,HSC,Rural,Medium,Yes,Yes,0
97.73,94.54,74.38,State,78.93,2,Self Study,High,Low,SSLC,Semi-Urban,High,No,Yes,0
64.56,98.87,87.68,State,69.29,1,Local,Medium,Mid,HSC,Rural,Medium,Yes,Yes,0
58.34,88.26,41.02,State,86.65,1,FIITJEE,Medium,Low,PG,Semi-Urban,Low,No,Yes,0
68.76,59.64,59.68,ICSE,68.85,2,Local,Medium,High,SSLC,Rural,Medium,Yes,Yes,0
35.54,56.65,52.73,ICSE,73.78,2,Local,Medium,High,PG,Rural,Medium,Yes,No,0
71.64,67.19,57.92,State,76.0,2,Allen,Low,Mid,SSLC,Urban,High,No,Yes,0
85.76,88.59,56.0,CBSE,77.94,2,Local,Very Low,Low,Graduate,Rural,Medium,No,No,1
86.8,65.65,70.52,ICSE,89.86,2,FIITJEE,Medium,Mid,Graduate,Semi-Urban,Low,No,No,0
66.3,51.07,80.06,CBSE,65.54,1,Self Study,High,Mid,SSLC,Semi-Urban,Low,No,No,0
90.61,99.68,52.81,State,85.32,2,Local,Medium,Mid,SSLC,Rural,Low,Yes,No,0
62.9,88.37,82.95,ICSE,82.8,2,Self Study,Very High,Mid,HSC,Urban,High,Yes,No,0
66.45,62.65,70.46,ICSE,63.16,1,FIITJEE,Very High,Low,SSLC,Rural,Medium,No,Yes,0
73.87,67.82,93.62,CBSE,61.46,2,FIITJEE,Medium,Low,PG,Urban,Medium,Yes,Yes,0
77.74,62.01,74.16,State,88.78,1,Allen,Low,Low,HSC,Urban,Low,Yes,No,1
43.42,70.9,77.35,CBSE,63.3,2,Allen,Low,High,PG,Urban,Medium,No,No,0
76.69,81.91,57.28,ICSE,76.51,1,Local,Low,High,PG,Semi-Urban,High,No,No,0
77.36,61.71,60.33,ICSE,65.21,2,Local,Medium,Low,PG,Rural,Medium,Yes,No,1
54.07,81.58,68.39,CBSE,69.0,2,Local,Low,Low,Graduate,Semi-Urban,High,No,No,1
58.9,58.01,85.21,ICSE,89.16,1,FIITJEE,High,Low,PG,Semi-Urban,Low,No,No,1
79.75,52.57,75.4,State,75.38,1,FIITJEE,Low,Mid,Graduate,Semi-Urban,High,Yes,Yes,0
60.0,58.86,70.69,State,74.99,2,Local,Very Low,Low,SSLC,Rural,Medium,Yes,Yes,0
64.15,56.0,68.97,CBSE,87.91,2,Allen,Low,Low,SSLC,Urban,Medium,Yes,Yes,0
71.89,59.42,55.9,State,82.93,1,Allen,Medium,Low,SSLC,Rural,High,Yes,Yes,0
67.25,86.39,61.55,ICSE,77.07,1,FIITJEE,Very Low,Low,PG,Rural,High,Yes,No,1
49.39,56.26,61.55,CBSE,69.61,2,Local,Low,Mid,HSC,Rural,High,No,No,0
77.98,50.1,65.44,State,75.57,2,Self Study,Very Low,Low,PG,Rural,High,No,Yes,1
64.86,38.12,74.0,State,80.39,2,Local,Very Low,High,Graduate,Rural,Low,No,No,0
80.69,77.17,68.9,CBSE,93.39,2,Local,Medium,High,SSLC,Urban,Low,No,No,0
82.84,98.36,67.61,State,77.8,1,Local,,Low,PG,Rural,Medium,No,No,1
75.94,68.12,72.01,State,79.27,2,Allen,Low,High,SSLC,Urban,Medium,Yes,No,0
75.87,65.53,58.53,CBSE,78.83,2,Self Study,Medium,Mid,Graduate,Urban,Medium,No,No,0
39.57,62.27,72.52,ICSE,62.58,2,Allen,Medium,Mid,HSC,Urban,High,No,Yes,0
79.04,62.26,62.78,CBSE,68.62,2,Allen,Low,Mid,Graduate,Semi-Urban,High,No,No,0
74.77,49.91,74.48,CBSE,64.51,2,FIITJEE,Medium,Low,HSC,Rural,High,No,No,1
72.73,52.06,69.96,CBSE,69.53,2,Local,Low,Low,SSLC,Semi-Urban,High,No,Yes,0
60.68,50.35,87.22,State,69.08,1,Allen,Medium,Low,PG,Semi-Urban,High,Yes,No,1
30.83,65.18,50.6,ICSE,80.67,1,FIITJEE,Medium,Low,Graduate,Urban,Low,Yes,Yes,0
54.56,54.22,54.56,CBSE,77.98,2,Allen,Low,Mid,Graduate,Semi-Urban,High,Yes,Yes,0
81.36,58.68,64.88,ICSE,73.47,2,Local,Medium,Mid,SSLC,Rural,Medium,Yes,No,0
79.19,54.58,86.07,State,91.1,2,Self Study,High,Mid,PG,Urban,Low,No,No,0
93.42,72.67,74.79,ICSE,69.77,2,Allen,High,High,HSC,Semi-Urban,Medium,Yes,Yes,0
56.8,70.48,57.17,State,62.5,2,Allen,Low,Low,PG,Urban,High,No,Yes,0
94.62,80.98,43.26,ICSE,76.14,1,Local,Low,Mid,PG,Semi-Urban,Medium,No,No,0
70.19,72.97,69.19,ICSE,87.46,1,FIITJEE,Very Low,High,PG,Urban,High,Yes,Yes,1
63.74,65.78,47.05,State,73.82,2,FIITJEE,Medium,High,SSLC,Rural,Low,Yes,Yes,0
88.42,82.41,59.89,CBSE,72.97,2,Local,Low,Low,Graduate,Semi-Urban,Medium,No,No,1
70.05,74.94,88.12,ICSE,78.84,1,Allen,Low,High,Graduate,Rural,Low,No,No,0
71.2,77.94,67.86,CBSE,70.13,1,Local,Very Low,High,Graduate,Rural,Low,No,No,0
63.91,85.12,86.33,ICSE,83.85,1,FIITJEE,Low,High,SSLC,Urban,Low,Yes,Yes,0
84.87,71.85,66.0,CBSE,79.82,2,Allen,Medium,High,PG,Semi-Urban,Low,Yes,Yes,0
77.11,49.5,73.87,CBSE,66.17,1,Self Study,Low,Low,PG,Urban,Medium,No,No,1
71.33,72.29,74.45,State,76.35,2,Local,Very Low,Mid,SSLC,Semi-Urban,Low,Yes,Yes,0
76.0,69.71,68.45,CBSE,68.06,1,Self Study,Medium,High,HSC,Rural,High,No,Yes,0
88.52,20.4,68.13,ICSE,77.2,1,Local,Medium,Low,Graduate,Urban,High,Yes,No,1
100.0,69.19,66.4,CBSE,63.2,2,FIITJEE,Medium,High,PG,Urban,High,No,No,0
88.64,81.13,63.13,ICSE,75.04,2,FIITJEE,Very High,Low,PG,Urban,High,No,No,1
59.06,75.14,71.2,ICSE,75.8,2,Local,Very Low,Mid,PG,Rural,Low,No,Yes,0
53.91,67.46,60.45,CBSE,65.41,1,Allen,Very High,Low,PG,Urban,High,No,No,1
63.83,59.96,60.1,CBSE,63.85,1,Allen,High,Low,SSLC,Rural,Medium,No,Yes,0
81.89,67.4,43.37,CBSE,71.51,1,Allen,Medium,Low,SSLC,Urban,High,Yes,Yes,0
70.67,62.24,58.4,ICSE,60.17,1,Self Study,Very Low,High,PG,Semi-Urban,High,No,Yes,1
83.87,49.52,69.64,ICSE,70.13,2,Self Study,High,Mid,PG,Semi-Urban,High,Yes,Yes,0
57.62,48.12,61.98,State,76.43,2,FIITJEE,Low,High,PG,Urban,Low,No,Yes,0
68.98,39.49,69.34,CBSE,69.37,2,Allen,Low,High,HSC,Semi-Urban,High,No,Yes,0
80.67,57.93,48.36,ICSE,63.45,2,FIITJEE,High,Low,HSC,Urban,Medium,No,No,1
57.58,53.45,66.47,ICSE,85.25,1,Self Study,Medium,Mid,SSLC,Rural,Medium,No,No,0
79.18,75.09,65.43,ICSE,79.63,2,Local,Low,Low,PG,Urban,High,Yes,Yes,0
74.51,52.82,50.53,ICSE,54.06,2,Local,Medium,High,SSLC,Rural,Low,No,No,0
59.34,44.82,58.09,ICSE,76.58,2,Self Study,Medium,Mid,HSC,Urban,Low,No,No,0
75.27,69.51,90.39,State,98.04,2,Local,Medium,Mid,Graduate,Semi-Urban,Medium,Yes,No,0
79.99,57.26,89.95,State,82.78,2,Local,Low,Low,SSLC,Rural,High,No,No,1
87.48,64.17,72.96,CBSE,71.47,1,Self Study,Medium,Mid,PG,Semi-Urban,High,No,No,0
94.11,64.26,63.54,State,62.24,1,Local,Low,High,PG,Semi-Urban,Medium,Yes,No,0
76.67,75.89,59.8,CBSE,72.13,2,Local,Medium,Low,PG,Semi-Urban,Low,No,No,1
59.76,66.03,58.82,State,70.38,2,Allen,Low,Low,PG,Semi-Urban,High,No,No,1
95.03,63.28,72.36,CBSE,76.79,1,Self Study,Low,High,Graduate,Rural,Low,No,No,0
51.94,76.71,81.64,CBSE,75.84,2,Self Study,Low,Low,Graduate,Semi-Urban,High,No,Yes,0
64.98,90.45,91.87,State,67.8,2,FIITJEE,High,Low,Graduate,Semi-Urban,High,Yes,No,1
64.28,46.64,73.04,State,86.26,1,FIITJEE,Medium,Low,PG,Urban,Low,Yes,No,1
92.35,36.35,74.59,CBSE,82.07,2,Allen,High,Mid,PG,Rural,Medium,Yes,Yes,0
84.27,18.91,56.53,State,74.92,2,FIITJEE,Medium,Mid,SSLC,Semi-Urban,Low,No,Yes,0
98.27,41.8,63.06,ICSE,81.95,2,Self Study,Medium,Mid,Graduate,Rural,Medium,No,No,0
59.95,57.94,74.33,State,82.69,1,FIITJEE,Medium,Low,SSLC,Rural,High,Yes,Yes,0
100.0,38.65,73.29,State,60.75,1,Allen,Medium,Mid,PG,Urban,Low,No,Yes,0
73.11,52.17,58.05,ICSE,72.46,2,Local,High,High,SSLC,Urban,Medium,No,Yes,0
80.16,74.49,79.51,State,74.76,1,Allen,High,High,HSC,Semi-Urban,Medium,Yes,No,0
58.08,68.38,89.56,CBSE,75.6,1,FIITJEE,High,Mid,SSLC,Semi-Urban,Medium,Yes,Yes,0
100.0,41.99,82.35,CBSE,87.32,1,Local,High,Mid,HSC,Urban,High,No,Yes,0
83.83,79.65,59.33,State,81.56,1,Self Study,Very High,High,SSLC,Semi-Urban,Low,Yes,No,0
65.57,55.69,77.91,State,55.82,1,FIITJEE,Very Low,High,PG,Urban,High,No,Yes,1
50.64,72.44,60.48,CBSE,85.47,2,Allen,Medium,Low,PG,Urban,High,No,Yes,0
92.38,72.3,70.91,CBSE,72.26,1,Local,Medium,Low,SSLC,Semi-Urban,High,No,No,1
89.54,69.64,67.95,State,69.94,2,Allen,Very Low,Mid,HSC,Urban,Medium,No,No,0
70.74,87.89,71.47,State,74.62,1,Self Study,Low,Low,HSC,Urban,Medium,Yes,No,1
64.29,69.6,81.18,CBSE,69.53,1,Allen,Low,Low,PG,Semi-Urban,High,Yes,No,1
68.54,38.17,69.53,State,82.56,2,FIITJEE,Very High,Low,SSLC,Semi-Urban,High,Yes,No,1
49.86,59.99,80.88,CBSE,84.99,2,Self Study,Low,High,PG,Rural,Medium,No,No,0
80.3,47.51,62.04,CBSE,75.87,1,Local,Medium,Low,PG,Semi-Urban,High,Yes,No,1
84.53,91.35,58.17,CBSE,60.69,2,Allen,Low,Low,PG,Rural,Medium,Yes,Yes,0
59.32,42.56,63.17,State,64.26,1,Self Study,Medium,Low,HSC,Rural,Low,No,Yes,0
62.88,100.0,65.91,State,73.59,2,FIITJEE,Low,Mid,PG,Rural,Medium,Yes,No,0
57.88,52.58,48.98,CBSE,74.95,2,Local,Low,High,HSC,Rural,Medium,No,Yes,0
72.11,47.46,58.39,ICSE,96.91,2,FIITJEE,Low,High,Graduate,Urban,Medium,No,No,0
93.59,49.58,83.15,CBSE,63.52,2,FIITJEE,High,High,SSLC,Urban,High,Yes,No,0
64.35,100.0,68.64,State,67.8,2,Allen,High,Low,PG,Semi-Urban,Low,No,Yes,0
61.34,38.17,56.66,ICSE,84.97,2,FIITJEE,Low,High,SSLC,Urban,High,No,Yes,0
59.06,77.91,59.95,CBSE,64.97,1,Local,Medium,Mid,SSLC,Rural,Low,Yes,Yes,0
73.61,58.74,86.06,CBSE,77.08,2,Self Study,Medium,Mid,PG,Urban,High,Yes,No,0
52.89,80.77,53.4,CBSE,71.19,2,FIITJEE,Medium,High,HSC,Urban,Medium,No,Yes,0
75.42,39.11,87.23,CBSE,78.55,1,Allen,Low,High,Graduate,Semi-Urban,Medium,Yes,Yes,0
42.52,41.18,56.05,ICSE,76.63,2,Local,High,Low,PG,Rural,High,Yes,Yes,1
57.82,32.32,55.12,State,77.91,1,FIITJEE,Low,High,PG,Rural,Medium,No,Yes,0
50.12,84.83,74.62,State,67.58,1,Self Study,Medium,Mid,HSC,Urban,Low,No,Yes,0
63.43,72.18,50.67,ICSE,85.13,2,Local,Very Low,High,SSLC,Rural,High,Yes,Yes,0
57.01,62.79,76.84,State,59.8,2,Allen,High,Low,SSLC,Rural,Medium,No,Yes,0
55.85,100.0,77.51,CBSE,81.61,2,Self Study,Medium,Low,Graduate,Semi-Urban,Low,No,Yes,0
75.64,80.53,70.71,CBSE,63.74,2,FIITJEE,Medium,Mid,SSLC,Semi-Urban,Low,Yes,No,0
83.51,57.94,86.23,ICSE,65.56,2,Self Study,Medium,Low,PG,Rural,Low,Yes,No,1
58.8,68.56,58.4,ICSE,89.61,2,FIITJEE,High,Low,SSLC,Semi-Urban,Low,No,No,1
65.42,66.22,82.65,State,83.93,2,Self Study,Very Low,Low,SSLC,Urban,Low,No,No,1
82.41,56.34,68.86,CBSE,84.02,2,Self Study,Very Low,Mid,HSC,Urban,Low,Yes,No,0
74.9,72.1,52.07,CBSE,64.36,2,Allen,Low,Mid,HSC,Semi-Urban,Low,Yes,No,0
67.38,68.43,82.21,State,66.65,1,Allen,Medium,Mid,PG,Urban,High,Yes,Yes,0
82.91,64.12,77.88,State,73.72,2,FIITJEE,Low,Mid,Graduate,Urban,High,No,Yes,0
84.42,52.23,64.54,CBSE,74.28,2,Self Study,Medium,Mid,PG,Urban,High,Yes,Yes,0
55.38,27.74,58.51,CBSE,67.22,1,Local,High,Mid,Graduate,Semi-Urban,Low,No,Yes,0
78.2,64.04,73.79,ICSE,69.09,2,Local,Medium,Low,Graduate,Rural,Low,Yes,Yes,0
38.51,70.58,77.58,CBSE,70.41,2,Self Study,Medium,Low,SSLC,Urban,Medium,No,No,1
79.31,70.75,54.54,CBSE,73.87,1,Local,Medium,Mid,SSLC,Rural,High,No,No,0
65.6,63.16,78.96,ICSE,74.34,2,Allen,Low,Mid,SSLC,Semi-Urban,Medium,No,Yes,0
46.24,81.09,49.93,ICSE,65.23,1,Allen,Very High,Low,SSLC,Urban,Medium,No,No,1
72.25,73.98,94.83,ICSE,74.45,1,Self Study,Medium,Low,PG,Urban,Low,Yes,Yes,0
83.08,69.48,73.98,State,66.11,1,Self Study,Medium,High,Graduate,Rural,High,No,Yes,0
62.88,61.89,54.75,ICSE,78.54,1,Self Study,Medium,Low,HSC,Urban,Low,Yes,No,1
56.86,72.85,79.55,State,83.47,2,Local,Medium,Low,Graduate,Urban,High,No,Yes,0
86.66,79.08,59.09,State,74.19,2,Allen,Medium,High,SSLC,Rural,High,No,Yes,0
90.98,81.53,53.77,State,88.55,2,Self Study,Medium,Mid,Graduate,Semi-Urban,Low,Yes,Yes,0
87.5,83.16,92.02,CBSE,73.7,1,Self Study,Low,Low,PG,Urban,Medium,No,No,1
78.62,34.92,77.71,CBSE,73.43,2,Self Study,Medium,Mid,Graduate,Urban,Low,No,No,0
63.19,82.61,77.0,ICSE,68.08,1,Local,Medium,High,SSLC,Semi-Urban,Medium,No,No,0
81.07,37.27,60.83,ICSE,64.36,1,FIITJEE,High,Low,PG,Semi-Urban,Medium,Yes,No,1
70.4,35.72,64.74,CBSE,73.51,1,Allen,Very Low,Mid,HSC,Rural,Low,No,Yes,0
81.51,75.34,44.44,State,81.39,1,Self Study,Medium,High,Graduate,Semi-Urban,High,No,No,0
75.69,37.07,70.24,State,69.7,2,Local,Medium,Low,Graduate,Rural,High,No,Yes,0
78.89,68.59,82.6,ICSE,73.13,1,FIITJEE,Low,Low,HSC,Urban,High,Yes,Yes,0
96.34,18.73,62.46,ICSE,73.83,2,FIITJEE,Medium,Mid,PG,Rural,High,Yes,Yes,0
81.95,45.71,82.54,CBSE,70.58,1,Allen,Medium,Low,HSC,Rural,High,No,Yes,0
69.04,65.96,69.45,ICSE,66.7,2,Allen,Medium,High,HSC,Urban,Low,Yes,No,0
79.62,57.88,66.03,ICSE,62.07,2,Local,Medium,High,HSC,Semi-Urban,High,Yes,Yes,0
81.49,53.74,85.69,ICSE,68.57,2,Self Study,Very Low,Mid,HSC,Urban,Low,No,Yes,0
91.38,84.18,52.75,ICSE,84.92,2,Self Study,Low,Mid,HSC,Rural,Medium,No,No,0
67.34,68.41,94.05,CBSE,91.77,2,Self Study,Low,High,PG,Urban,Low,No,Yes,0
78.35,66.56,81.95,State,82.73,1,FIITJEE,High,Mid,HSC,Semi-Urban,Low,No,No,0
69.66,68.16,47.85,CBSE,59.94,2,Local,Medium,High,HSC,Semi-Urban,High,Yes,Yes,0
84.05,42.29,41.84,ICSE,82.98,2,Local,Medium,Mid,Graduate,Rural,Low,No,Yes,0
72.26,59.03,69.48,ICSE,55.71,2,Self Study,High,Low,SSLC,Rural,Medium,No,No,1
78.61,44.43,67.42,State,73.58,1,Allen,Very Low,Low,HSC,Rural,Medium,Yes,Yes,0
63.49,55.59,49.12,CBSE,84.68,2,Local,Medium,Low,HSC,Urban,Medium,No,No,1
50.34,89.97,63.8,CBSE,65.73,2,FIITJEE,Low,Low,Graduate,Semi-Urban,Low,Yes,No,1
85.13,50.56,71.07,CBSE,76.06,1,Allen,Medium,Mid,HSC,Urban,High,No,No,0
69.73,63.95,60.04,CBSE,58.88,1,Local,Low,Low,Graduate,Urban,Medium,Yes,Yes,0
98.38,60.57,71.48,CBSE,79.73,2,FIITJEE,Medium,High,PG,Semi-Urban,Low,Yes,No,0
61.0,46.22,71.81,State,83.17,1,Self Study,Medium,High,SSLC,Rural,Low,No,No,0
100.0,70.93,50.12,ICSE,83.53,1,Allen,Medium,Low,SSLC,Urban,Medium,No,Yes,0
73.79,81.61,72.53,ICSE,71.13,2,Allen,High,High,HSC,Semi-Urban,Medium,Yes,Yes,0
62.09,54.18,64.85,State,62.68,1,FIITJEE,High,Mid,HSC,Semi-Urban,High,No,No,0
74.7,50.3,78.22,ICSE,88.4,2,FIITJEE,Medium,Low,HSC,Rural,Medium,No,No,1
80.55,74.86,56.42,ICSE,65.18,2,Self Study,Low,Low,PG,Semi-Urban,Low,Yes,Yes,0
92.0,34.73,94.64,ICSE,67.94,2,Self Study,Medium,Low,PG,Urban,Low,No,Yes,0
71.09,60.52,65.43,CBSE,81.77,1,Local,Medium,High,PG,Rural,Low,Yes,No,0
82.61,69.99,81.9,State,87.92,1,Local,High,Low,PG,Rural,High,Yes,No,1
94.46,75.16,73.68,ICSE,57.27,2,Self Study,,High,Graduate,Urban,High,Yes,No,1
87.16,68.39,73.87,ICSE,71.69,1,Local,High,High,Graduate,Rural,High,Yes,No,0
65.22,47.86,51.78,CBSE,72.92,1,Self Study,Low,Low,PG,Urban,High,Yes,Yes,0
61.42,84.04,41.89,State,60.51,2,Self Study,Low,Low,PG,Semi-Urban,Low,No,No,1
74.61,36.02,61.68,ICSE,61.97,1,Allen,Low,High,PG,Urban,Low,Yes,No,0
79.21,69.8,60.44,ICSE,83.26,2,Local,Medium,Mid,HSC,Urban,High,No,No,0
59.61,59.17,83.04,State,81.97,2,Allen,Medium,Low,PG,Semi-Urban,Medium,No,Yes,0
77.54,50.97,85.04,State,71.65,2,Self Study,Medium,Mid,HSC,Urban,High,Yes,No,0
52.78,53.36,85.26,ICSE,58.12,2,FIITJEE,Low,Low,SSLC,Urban,Medium,No,Yes,0
65.67,70.73,83.36,CBSE,70.42,2,FIITJEE,Very Low,Low,HSC,Rural,Low,Yes,No,1
66.23,75.66,74.88,State,69.46,2,Local,High,Low,HSC,Semi-Urban,Medium,Yes,No,1
